"Longitude","Latitude","SurfT_C"
-158.1467,21.5133,295
-159.58,22.02,299
-156.8733,21.0967,294
-158.0917,21.3867,299
-158.09,21.4308,297
-158.11,21.4867,295
-159.5,22.07,292
-158.1367,21.4883,295
-158.1467,21.5133,295
-156.1167,20.7,294
-158.1417,21.5067,294
-159.66,22.0517,297
-159.665,22.07,295
-156.8533,21.1617,295
-158.0967,21.4033,299
-158.0083,21.59,297
-158.21,21.57,298
-158.1133,21.4733,297
-158.0917,21.43,299
-157.9117,21.5233,294
-156.8533,20.7933,298
-158.1433,21.5067,294
-158.1067,21.415,300
-155.1967,19.3667,304
-158.1,21.41,298
-155.4533,19.7417,304
-155.3883,19.9867,297
-155.3883,19.9867,297
-155.1133,19.7217,300
-155.8667,19.6983,301
-156.6,20.9,295
-156.6667,20.9,302
-155.2167,19.5683,293
-155.225,19.44,294
-155.255,19.415,304
-156.605,20.8433,301
-155.4333,19.6833,303
-155.2833,19.45,297
-155.235,19.4333,295
-155.7183,20.17,295
-156.6017,20.85,301
-156.1517,20.6817,302
-155.3333,19.5,302
-156.2739,20.8303,298
-155.3833,19.9283,300
-155.8667,19.6933,302
-155.51,19.75,306
-155.4167,19.685,302
-155.5575,19.995,299
-155.5817,19.83,299
-156.3683,20.63,299
-155.315,19.4417,297
-155.305,19.4433,298
-155.2167,19.3667,299
-155.2367,19.3733,298
-156.1417,20.7083,301
-155.8667,19.6867,304
-155.2183,19.44,295
-159.5,22.0717,292
-156.2,20.7167,310
-156.575,20.91,292
-155.533,19.7333,306
-156.6,20.9,295
-156.5833,20.9083,292
-156.6,20.9,295
-155.8667,19.6983,301
-155.48,19.8967,299
-156.1833,20.7167,307
-155.395,19.6833,300
-156.1667,20.7167,306
-156.1667,20.7167,306
-156.1667,20.7167,306
-156.2,20.7167,310
-156.2583,20.7167,298
-156.15,20.7333,296
-155.4617,19.8067,303
-155.78,19.425,297
-155.3567,19.6717,299
-156.25,20.7333,295
-155.295,19.4,308
-155.4167,19.5117,308
-156.1167,20.7367,290
-156.1867,20.7233,305
-155.7167,19.525,303
-155.35,19.4833,301
-155.35,19.4833,301
-155.5058,19.7733,302
-156.575,20.9167,292
-155.3167,19.4667,300
-155.4867,19.86,299
-156.1167,20.7333,292
-155.465,19.5317,308
-155.895,19.64,298
-155.42,19.76,306
-156.255,20.7917,296
-155.47,19.8283,302
-156.25,20.795,293
-156.575,20.9167,292
-156.575,20.8933,292
-155.5433,19.825,304
-155.3833,19.4667,305
-155.51,19.8333,306
-156.255,20.7133,298
-156.255,20.7917,296
-155.6767,19.855,306
-155.3883,19.5,305
-155.2933,19.4333,301
-155.3875,19.5017,305
-155.3,19.4117,308
-156.2533,20.72,296
-156.2533,20.72,296
-156.1667,20.7167,306
-155.7,19.1633,304
-156.6,20.9,295
-155.3567,19.6717,299
-155.8667,19.6867,304
-155.8333,19.1167,299
-155.4667,19.79,305
-155.43,19.8217,304
-155.55,19.9833,299
-155.25,19.4233,301
-159.6333,22.1333,292
-155.5933,20.035,298
-158.1433,21.5067,294
-156.1333,20.7,299
-155.3883,19.9867,297
-155.3883,19.9867,297
-155.7883,20.1383,298
-155.3167,19.4667,300
-155.8667,19.6833,304
-155.2833,19.45,297
-156.1417,20.7,301
-155.3833,19.245,309
-156.555,20.8333,297
-159.6283,22.1467,292
-156.9333,21.1,303
-155.4917,19.6967,304
-155.2833,19.4,308
-155.3033,19.4433,298
-157.85,21.3,304
-156.2833,20.8,299
-156.2,20.7167,310
-155.6567,19.9967,307
-156.1867,20.7083,307
-156.2417,20.7583,295
-155.3917,19.9233,301
-156.9267,21.133,293
-155.2167,19.5683,293
-156.9433,21.15,294
-155.3,19.4425,299
-155.2733,19.4417,299
-155.39,19.9367,300
-155.35,19.4667,299
-155.525,19.7483,307
-155.3667,19.65,304
-155.3167,19.4833,299
-155.3167,19.4833,299
-155.7917,19.4267,294
-155.35,19.4633,299
-155.3167,19.5,298
-155.1167,19.6,296
-155.4767,19.8117,303
-155.2867,19.43,301
-155.3033,19.4667,299
-155.3,19.4367,301
-156.2167,20.7417,296
-155.5933,19.8333,301
-156.9667,20.8733,302
-156.895,20.885,306
-155.4533,19.7417,304
-155.6667,19.85,305
-159.6583,22.0483,298
-159.6707,22.1067,294
-159.65,22.1333,292
-156.9,21.1,297
-155.5933,20.035,298
-156.34,20.7767,303
-159.6583,22.0483,298
-155.36,19.995,296
-156.2783,20.8683,299
-155.36,19.995,296
-159.58,22.02,299
-157.79,21.3667,295
-159.6707,22.1067,294
-155.235,19.4283,295
-159.65,22.1333,292
-155.46,20.0383,296
-159.6833,22.1167,295
-155.833,19.7833,300
-159.7,22.15,297
-155.5283,20.0733,295
-155.55,20.045,298
-155.75,19.68,309
-155.2833,19.4,308
-155.625,20.065,295
-156.2833,20.8,299
-155.3883,19.9867,297
-155.4617,20.04,296
-155.2833,19.4333,301
-155.2833,19.4,308
-155.2667,19.4333,302
-155.6667,20.0333,297
-156.6167,20.9333,297
-155.2417,19.3783,300
-156.5517,20.8217,298
-155.255,19.4,302
-156.2,20.7167,310
-158.1017,21.4083,300
-159.6583,22.05,297
-155.65,19.8567,303
-155.3817,19.9783,298
-155.65,19.9833,305
-155.385,19.495,305
-155.3,19.44,299
-155.4083,19.685,302
-156.25,20.7333,295
-155.5567,20.0467,298
-155.6833,19.9167,304
-155.8667,19.6833,304
-155.5333,19.75,306
-155.55,19.7617,308
-155.2883,19.4317,301
-155.3833,19.9283,300
-155.305,19.4417,298
-155.6533,19.8617,303
-155.5717,20.0033,299
-155.305,19.44,298
-155.3867,19.4967,305
-155.5933,19.8333,301
-155.6367,19.8333,304
-155.65,19.9833,305
-159.665,22.07,295
-159.6267,22.15,294
-159.6667,22.1,294
-155.3883,19.9867,297
-156.3083,20.7667,301
-155.2867,19.325,309
-155.4533,19.7417,304
-155.3967,19.5067,308
-156.3167,20.8267,303
-158.0867,21.43,297
-155.3567,19.4733,300
-155.4367,19.9267,301
-155.6467,19.9833,306
-158.115,21.4733,297
-155.3867,19.9517,299
-155.51,19.75,306
-156.3264,20.8131,303
-156.255,20.7917,296
-155.385,19.495,305
-155.385,19.495,305
-159.65,22.0333,300
-155.4367,19.9267,301
-158.0867,21.43,297
-155.3867,19.9517,299
-159.7,22.15,297
-155.395,19.6833,300
-155.475,19.9717,298
-159.665,22.1667,297
-159.665,22.07,295
-159.665,22.1667,297
-159.665,22.07,295
-159.6267,22.15,294
-159.6667,22.1667,297
-159.7,22.15,297
-156.35,20.7,300
-155.5333,19.75,306
-155.45,19.7667,308
-156.605,20.8433,301
-155.7917,19.4267,294
-155.2883,19.4317,301
-155.3667,19.9567,299
-156.3269,20.8056,303
-156.3028,20.7675,300
-155.6483,19.0933,297
-155.6533,19.8617,303
-156.4,20.645,301
-155.5283,19.7467,306
-155.5933,19.8333,301
-155.6117,19.8133,301
-155.6367,19.8333,304
-155.455,19.76,306
-157.005,21.1617,296
-157.1667,21.133,301
-155.6167,19.85,301
-155.7883,20.1383,298
-156.61,20.835,303
-155.2817,19.3267,309
-155.6233,19.78,303
-155.3883,19.9867,297
-155.6767,19.85,306
-156.3083,20.7667,301
-155.555,20.0467,298
-157.7592,21.3183,295
-156.1333,20.7333,293
-156.585,20.9,292
-156.1033,20.695,292
-156.6,20.9,295
-156.6,20.9,295
-156.1583,20.725,303
-156.1167,20.7333,292
-156.575,20.9167,292
-155.7617,20.1117,296
-155.7617,20.1117,296
-155.7617,20.1117,296
-156.5917,20.9,293
-156.1167,20.7333,292
-156.1167,20.7417,290
-156.125,20.735,291
-156.1467,20.74,293
-156.1367,20.7317,294
-156.5367,20.8417,294
-156.1167,20.7333,292
-156.6,20.9,295
-156.1167,20.7417,290
-156.6,20.9,295
-156.1167,20.7383,290
-156.125,20.7417,291
-156.6083,20.8483,303
-156.6,20.9,295
-156.9167,21.115,294
-156.6,20.9,295
-156.6,20.9,295
-156.6,20.9,295
-156.575,20.9167,292
-156.2,20.7417,299
-156.6,20.9,295
-156.59,20.9033,293
-156.5783,20.8967,292
-156.575,20.9167,292
-156.6,20.9,295
-156.6,20.9,295
-156.59,20.8933,293
-156.6,20.9,295
-156.59,20.8933,293
-156.6,20.9,295
-156.5767,20.93,293
-157.2,21.1333,303
-156.15,20.7083,303
-156.3,20.7667,300
-156.575,20.925,293
-156.2883,20.7617,299
-156.5667,20.8417,296
-158.0567,21.4733,300
-157.81,21.3083,301
-157.81,21.3083,301
-157.7805,21.2996,301
-157.9346,21.3512,304
-159.6707,22.1067,294
-155.6117,19.8317,300
-155.32,19.5667,295
-155.39,19.9367,300
-159.6217,22.12,294
-158.1,21.3833,299
-156.3667,20.9,301
-159.65,22.14,292
-155.3883,19.9867,297
-156.1833,20.7083,307
-155.7883,20.1383,298
-155.3,19.45,297
-155.35,19.4833,301
-155.4167,19.6833,302
-155.3167,19.5333,293
-155.55,19.7617,308
-155.7917,19.4267,294
-155.6333,19.7833,303
-155.3867,19.5,305
-155.8733,19.6867,299
-156.2383,20.7733,295
-155.55,19.9767,300
-156.175,20.7267,299
-155.6483,19.0933,297
-155.6533,19.8617,303
-155.835,19.7667,302
-155.3867,19.4967,305
-155.5933,19.8333,301
-156.1833,20.75,296
-156.2,20.7167,310
-156.9167,21.1267,293
-159.5933,22.0717,294
-156.8733,21.0967,294
-159.6517,22.0783,298
-156.9117,21.1,301
-159.5,22.0717,292
-159.5,22.1417,295
-156.1017,20.7133,293
-159.6267,22.1333,292
-156.8483,21.1633,295
-156.8833,21.1,296
-159.5017,22.0667,292
-159.6167,22.145,292
-159.6233,22.1433,292
-159.5833,22.1167,292
-156.1117,20.7417,290
-156.24,20.6833,302
-159.5,22.0717,292
-156.2283,20.745,295
-156.9233,21.1333,293
-159.5,22.0717,292
-159.6,22.15,292
-155.3667,19.65,304
-155.4667,19.8,304
-155.88,19.7,298
-155.4667,19.8,304
-156.2583,20.7167,298
-155.7967,19.5167,301
-156.2,20.7417,299
-156.25,20.7333,295
-156.2417,20.7417,295
-155.4533,19.7417,304
-156.6,20.9,295
-156.5333,20.9167,295
-156.2833,20.8,299
-156.6,20.9,295
-156.575,20.9167,292
-156.1333,20.7333,293
-156.1333,20.7333,293
-156.1833,20.7583,293
-156.2417,20.7417,295
-156.6167,20.825,302
-155.455,19.76,306
-156.2467,20.7633,296
-156.2417,20.7417,295
-156.1417,20.7167,302
-156.2417,20.7417,295
-155.675,20.07,293
-156.6,20.9,295
-156.6167,20.825,302
-155.3583,19.475,300
-155.3033,19.4383,298
-156.2,20.7417,299
-156.575,20.9167,292
-155.6383,19.8367,304
-155.395,19.6833,300
-156.2417,20.7417,295
-156.2,20.7417,299
-156.5917,20.8867,293
-156.2,20.7417,299
-155.1133,19.7217,300
-156.5417,20.8917,293
-156.2333,20.8,292
-155.7883,20.1383,298
-155.0833,19.68,303
-155.3883,19.9867,297
-155.8667,19.6983,301
-155.325,19.4433,297
-155.3917,19.8917,303
-156.6,20.9,295
-155.35,19.4633,299
-155.6717,20.0483,294
-156.175,20.705,306
-155.385,19.5967,301
-156.22,20.8167,292
-156.0833,20.7083,293
-156.1,20.7117,292
-155.4167,19.5117,308
-156.1167,20.7333,292
-155.4167,19.51,308
-155.415,19.51,309
-155.2817,19.405,308
-155.45,19.75,305
-156.3333,20.6533,297
-156.6017,20.85,301
-156.6,20.8533,300
-156.6,20.855,300
-156.2467,20.7767,296
-155.7917,19.4267,294
-155.35,19.4833,301
-155.6667,20.0333,297
-155.5333,19.7717,307
-156.255,20.7917,296
-155.6833,20.0283,302
-155.4917,19.9267,300
-155.6533,19.8617,303
-155.3517,20.0017,295
-155.6467,19.8533,303
-155.6133,19.8533,301
-155.175,19.3533,306
-156.24,20.7083,300
-156.2067,20.725,304
-155.35,19.4667,299
-155.865,19.69,302
-156.2033,20.81,293
-156.14,20.7367,292
-156.1817,20.7233,305
-156.1333,20.7333,293
-156.1283,20.7367,291
-156.125,20.7417,291
-156.1333,20.735,291
-156.1467,20.73,296
-156.1317,20.7367,291
-155.7183,20.17,295
-155.495,19.71,304
-156.255,20.7917,296
-156.6,20.9,295
-155.5033,19.7567,304
-156.59,20.8933,293
-156.575,20.9167,292
-156.1367,20.7317,294
-156.255,20.7917,296
-156.255,20.7917,296
-156.255,20.7917,296
-155.495,19.9083,298
-156.59,20.9033,293
-156.1417,20.6967,301
-156.555,20.85,295
-155.7983,19.45,294
-156.605,20.85,301
-155.455,19.76,306
-156.1417,20.6967,301
-156.1283,20.69,299
-156.1283,20.6833,300
-155.2833,19.4,308
-156.2467,20.7767,296
-155.4,19.6833,301
-155.34,19.4533,299
-155.2567,19.4,306
-155.425,19.3633,297
-155.7333,19.575,301
-155.7783,19.1667,301
-156.05,20.7167,295
-156.0583,20.7133,294
-156.055,20.72,294
-155.1733,19.7683,295
-156.2417,20.7417,295
-156.3067,20.72,297
-156.1467,20.7333,296
-159.5167,21.98,295
-156.9167,21.115,294
-159.5933,22.0717,294
-159.5,22.0717,292
-159.5967,22.175,293
-159.6167,22.145,292
-159.5,22.0717,292
-156.8833,21.1167,292
-156.8833,21.1167,292
-159.6167,22.1333,292
-159.6167,22.1333,292
-159.6167,22.1333,292
-159.6,22.15,292
-156.1167,20.7333,292
-156.575,20.9167,292
-156.6,20.9,295
-156.6,20.9,295
-156.575,20.9167,292
-159.5933,22.0717,294
-159.5083,21.985,295
-155.7883,20.1383,298
-155.7883,20.1383,298
-155.3667,19.6733,299
-156.6,20.9,295
-155.32,19.68,295
-155.2167,19.43,295
-155.3167,19.6333,298
-159.5967,22.1583,292
-159.5933,22.0717,294
-156.575,20.9167,292
-156.575,20.9167,292
-157.84,21.4033,295
-157.84,21.4033,295
-157.89,21.4833,295
-157.8917,21.4817,295
-157.92,21.5283,294
-157.8367,21.415,295
-156.3167,20.875,301
-156.3264,20.7389,302
-156.2967,20.8231,301
-156.3167,20.875,301
-159.665,22.0983,294
-158.1233,21.4117,304
-155.7667,19.1667,303
-155.7667,19.1667,303
-157.9833,21.4117,304
-155.2417,19.4167,300
-156.3883,20.6617,302
-155.2833,19.45,297
-156.6,20.855,300
-156.3122,20.7419,299
-155.305,19.4417,298
-155.2383,19.41,295
-156.325,20.75,302
-159.6667,22.1,294
-159.6833,22.1183,295
-155.5933,20.035,298
-156.2439,20.7681,296
-156.3297,20.6433,298
-156.2664,20.8031,294
-159.65,22.1583,295
-159.62,22.1833,295
-159.67,22.15,295
-155.2833,19.4,308
-155.3167,19.4667,300
-156.2992,20.7197,295
-156.2436,20.7683,296
-155.7883,20.1383,298
-156.2467,20.7633,296
-156.2417,20.7583,295
-155.6667,20,306
-156.6517,20.8917,304
-155.385,19.49,305
-155.275,19.325,309
-156.155,20.68,303
-156.15,20.68,302
-155.45,19.2633,298
-156.2383,20.8133,292
-156.2683,20.755,297
-159.6783,22.1,294
-156.2283,20.745,295
-155.2833,19.4,308
-155.2833,19.4,308
-155.4917,19.6967,304
-155.4567,20.095,299
-156.9433,21.1483,294
-159.665,22.0983,294
-158.0983,21.4083,298
-155.225,19.44,294
-156.1317,20.7367,291
-156.2,20.7417,299
-155.7883,20.1383,298
-155.3883,19.9867,297
-155.2967,19.5567,295
-155.3867,19.4967,305
-155.3,19.4667,298
-155.7917,19.4267,294
-155.225,19.44,294
-155.3167,19.5,298
-156.6,20.9333,295
-155.235,19.4333,295
-155.35,19.4667,299
-156.1533,20.73,296
-156.255,20.7917,296
-155.3833,19.9283,300
-155.3067,19.44,298
-155.6567,19.2017,301
-155.3033,19.4417,298
-155.5933,19.8333,301
-155.7575,20.0811,303
-155.65,19.9833,305
-155.6833,19.9167,304
-156.3383,20.75,303
-155.4533,19.7367,305
-155.51,19.75,306
-155.615,19.7733,303
-155.625,19.795,310
-155.2433,19.433,296
-158.185,21.545,297
-159.65,22.1167,293
-155.635,19.9467,306
-157.7367,21.3317,296
-155.74,19.8667,306
-156.33,20.7617,302
-156.4,20.645,301
-159.5,21.9833,295
-159.5933,22.1917,295
-156.8717,21.095,294
-157.8517,21.4167,295
-157.88,21.485,294
-158.18,21.52,297
-157.8617,21.4133,295
-156.82,21.1233,295
-156.8017,21.1117,294
